device_name_in_vd,ip,day,batch,org,type,softwareVersion,ping-status,sync-status,serialNo,model,existing-packageName
CPE-111-IPC00010,20.20.10.111,1,1,IPC00010,branch,20.2.2-GA 63668a2 20200606,REACHABLE,IN_SYNC,CPE-111-IPC00010,FWA-2320,versa-flexvnf-20200606-211402-63668a2-20.2.2-wsm
CPE-14-LON-DUAL-CPE-HYBRID-IPC00073-P,20.20.73.14,1,1,IPC00073,branch,20.2.2-GA 63668a2 20200606,REACHABLE,OUT_OF_SYNC,KSA4305,FWA-1010VC,versa-flexvnf-20200606-211402-63668a2-20.2.2-wsm
CPE-15-LON-DUAL-CPE-HYBRID-IPC00073-S,20.20.73.15,1,1,IPC00073,branch,20.2.2-GA 63668a2 20200606,REACHABLE,OUT_OF_SYNC,KSA4306,FWA-1010VC,versa-flexvnf-20200606-211402-63668a2-20.2.2-wsm
CPE-17-MUM-DUAL-CPE-DUAL-MPLS-IPC00073-S,20.20.73.17,1,1,IPC00073,branch,20.2.2-GA 63668a2 20200606,REACHABLE,IN_SYNC,KSA2217B,FWA-1010VC,versa-flexvnf-20200606-211402-63668a2-20.2.2-wsm
CPE-18-MUM-DUAL-CPE-DUAL-MPLS-IPC00073-P,20.20.73.18,1,1,IPC00073,branch,20.2.2-GA 63668a2 20200606,REACHABLE,IN_SYNC,KSA2218A,FWA-1010VC,versa-flexvnf-20200606-211402-63668a2-20.2.2-wsm
CPE-21-BLR-SINGLE-CPE-MPLSONLY-IPC00073,20.20.73.21,1,1,IPC00073,branch,20.2.2-GA 63668a2 20200606,REACHABLE,IN_SYNC,KSA4310,FWA-1010VC,versa-flexvnf-20200606-211402-63668a2-20.2.2-wsm
CPE-34-HYBRID,20.20.73.234,1,1,IPC00073,branch,20.2.2-GA 63668a2 20200606,REACHABLE,OUT_OF_SYNC,KSA4303,FWA-5020U-00A1R,versa-flexvnf-20200606-211353-63668a2-20.2.2
CPE-45-MUM-SINGLE-CPE-HYBRID-IPC00073,20.20.73.45,1,1,IPC00073,branch,20.2.2-GA 63668a2 20200606,REACHABLE,IN_SYNC,KSA4309,FWA-3260,versa-flexvnf-20200606-211353-63668a2-20.2.2
Manish-CPE-22-MUM,20.20.73.22,1,1,IPC00073,branch,20.2.2-GA 63668a2 20200606,REACHABLE,IN_SYNC,CPE22KSA,FWA-1010VC,versa-flexvnf-20200606-211402-63668a2-20.2.2-wsm
Manish-CPE-23-MUM,20.20.73.23,1,1,IPC00073,branch,20.2.2-GA 63668a2 20200606,REACHABLE,OUT_OF_SYNC,CPE23KSA,FWA-1010VC,versa-flexvnf-20200606-211402-63668a2-20.2.2-wsm
MUM000061,20.20.16.201,1,1,IPC00073,branch,20.2.2-GA 63668a2 20200606,REACHABLE,IN_SYNC,KSA4320168,FWA-5070,versa-flexvnf-20200606-211353-63668a2-20.2.2
MUM000062,20.20.16.202,1,1,IPC00073,branch,20.2.2-GA 63668a2 20200606,REACHABLE,IN_SYNC,KSA4320162,FWA-5070,versa-flexvnf-20200606-211353-63668a2-20.2.2
Self-Install-Test2,20.20.73.50,1,1,IPC00073,branch,20.2.2-GA 63668a2 20200606,REACHABLE,IN_SYNC,KSD0121497,FWA-3260,versa-flexvnf-20200606-211353-63668a2-20.2.2
UCPE6,20.20.73.156,1,1,IPC00073,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,UCPE6,OpenStack Compute,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
